('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790073 function calls (765848 primitive calls) in 6.190 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
      122    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        3    0.000    0.000    0.496    0.165 response.py:1(<module>)
      215    0.000    0.000    0.000    0.000 _virtualenv.py:53(find_spec)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
       25    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      2/1    0.000    0.000    1.129    1.129 sessions.py:673(send)
      302    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      260    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      515    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
        2    0.000    0.000    0.039    0.019 models.py:1(<module>)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
       20    0.000    0.000    0.065    0.003 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:45(NoBoundaryInMultipartDefect)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      380    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        6    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      524    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
