('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790306 function calls (766059 primitive calls) in 10.760 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      302    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        9    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
        2    0.000    0.000    1.211    0.605 connection.py:485(getresponse)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       60    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
        3    0.000    0.000    0.001    0.000 url.py:367(parse_url)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       58    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.139    0.139 css_parser.py:1(<module>)
      190    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        2    0.000    0.000    0.040    0.020 request.py:1(<module>)
       75    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.001    0.001 retry.py:1(<module>)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 errors.py:45(NoBoundaryInMultipartDefect)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
        1    0.000    0.000    0.001    0.001 _text.py:1(<module>)
      2/1    0.000    0.000    1.416    1.416 sessions.py:673(send)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      194    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
